供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
特推产品,舒筋健腰丸,广州白云山陈李济药厂有限公司,765.00,2021-06-30,45g*10瓶,136
帝豪旗舰店,倍他乐克 酒石酸美托洛尔片,阿斯利康制药有限公司,6.50,2021-07-31,25mg*20片,194595
帝豪旗舰店,达喜 铝碳酸镁片,拜耳医药保健有限公司,21.00,2023-10-07,0.5g*20片,120981
帝豪旗舰店,黛力新 氟哌噻吨美利曲辛片,H. Lundbeck A/S,53.00,2021-04-30,(0.5mg+10mg)*20片,20655
帝豪旗舰店,钙尔奇 碳酸钙D3片,惠氏制药有限公司,52.50,2021-09-08,600mg*60片,86292
帝豪旗舰店,吗丁啉 多潘立酮片,西安杨森制药有限公司,16.49,2023-06-30,10mg*30片,67435
帝豪旗舰店,西比灵 盐酸氟桂利嗪胶囊,西安杨森制药有限公司,23.50,2021-08-31,5mg*20粒,22964
帝豪旗舰店,江中 健胃消食片,江中药业股份有限公司,6.49,2020-06-30,0.5g*12片*3板,68336
帝豪旗舰店,江中 健胃消食片,江中药业股份有限公司,6.50,2020-07-31,0.8g*8片*4板,50081
帝豪旗舰店,顺峰康王 酮康他索乳膏,广东华润顺峰药业有限公司,6.20,2021-07-09,10g,110937
帝豪旗舰店,意可贴 醋酸地塞米松粘贴片,深圳太太药业有限公司,15.50,2020-07-31,0.3mg*5片,20260
帝豪旗舰店,王老吉 保济丸,广州王老吉药业股份有限公司,8.50,2021-06-30,3.7g*20瓶,77091
帝豪旗舰店,易坦静 氨溴特罗口服溶液,北京韩美药品有限公司,23.00,2022-01-28,60ml,96337
帝豪旗舰店,吉加 厄贝沙坦片,江苏恒瑞医药股份有限公司,5.60,2020-08-23,0.15g*7片,155242
帝豪旗舰店,寿比山 吲达帕胺片,天津力生制药股份有限公司,18.30,2021-01-01,2.5mg*30片(糖衣片),33435
帝豪旗舰店,鲁南厚普 小儿消积止咳口服液,鲁南厚普制药有限公司,46.00,2021-02-28,10ml*10支,15334
帝豪旗舰店,玉林 正骨水,广西玉林制药集团有限责任公司,4.90,2021-05-31,12ml,68148
帝豪旗舰店,维尔固 盐酸氨基葡萄糖胶囊,浙江诚意药业股份有限公司,8.40,2020-11-30,0.24g*20粒,0
帝豪旗舰店,昆明振华 红霉素眼膏,云南植物药业有限公司,3.28,2023-07-23,2.5g:0.5%,17441
帝豪旗舰店,顺尔宁 孟鲁司特钠咀嚼片,Merck Sharp & Dohme B.V.,28.90,2020-03-11,4mg*5片,47243
帝豪旗舰店,玉林 正骨水,广西玉林制药集团有限责任公司,13.80,2021-10-31,30ml,36131
帝豪旗舰店,桂林三金 三金片,桂林三金药业股份有限公司,20.90,2020-03-26,0.29g*54片,56636
帝豪旗舰店,万通 复方金钱草颗粒,广西万通制药有限公司,12.20,2020-08-31,10g*10袋,39226
帝豪旗舰店,【送1688元阿胶机】东阿 阿胶1件+东阿 复方阿胶浆1件即赠价值1688元的伊莱特阿胶多功能机,,29888.00,,,0
帝豪旗舰店,纷乐 硫酸羟氯喹片,上海上药中西制药有限公司,25.20,2021-11-30,0.1g*14片,12732
帝豪旗舰店,百多邦 莫匹罗星软膏,中美天津史克制药有限公司,13.60,2020-10-31,5g,41038
帝豪旗舰店,陈李济 喉疾灵胶囊,广州白云山陈李济药厂有限公司,13.50,2020-05-31,0.25g*24粒,14799
帝豪旗舰店,上海凯合荣 复方丹参片,上海凯合荣图们药业有限公司,7.99,2021-12-31,200片(薄膜衣),203378
帝豪旗舰店,美林 布洛芬混悬液,上海强生制药有限公司,20.50,2021-08-31,100ml,28912
帝豪旗舰店,中一 消渴丸,广州白云山中一药业有限公司,16.30,2020-09-30,30g*120丸,16038
帝豪旗舰店,马应龙 麝香痔疮膏,马应龙药业集团股份有限公司,7.98,2021-02-28,10g,67019
帝豪旗舰店,王老吉 广东凉茶颗粒,广州王老吉药业股份有限公司,13.50,2020-04-30,10g*20袋(含蔗糖),0
帝豪旗舰店,扶他林 双氯芬酸二乙胺乳胶剂,北京诺华制药有限公司,19.60,2021-09-30,20g:0.2g,42602
帝豪旗舰店,达克宁 硝酸咪康唑乳膏,西安杨森制药有限公司,17.50,2023-06-30,20g,70405
帝豪旗舰店,立效 止嗽立效丸,山西华康药业股份有限公司,7.60,2022-01-31,6g*6袋,61366
帝豪旗舰店,护彤 小儿氨酚黄那敏颗粒,哈药集团制药六厂,9.20,2021-09-30,2g*12袋,19457
帝豪旗舰店,丁齐尔 雷贝拉唑钠肠溶片,双鹤药业(海南)有限责任公司,17.20,2020-07-31,10mg*7片,8644
帝豪旗舰店,希刻劳 头孢克洛干混悬剂,礼来苏州制药有限公司,19.20,2020-07-31,0.125g*6袋,67199
帝豪旗舰店,硝苯地平控释片(拜新同),拜耳医药保健有限公司,49.00,2021-10-01,30mg*7s,3615
帝豪旗舰店,明兴 清开灵颗粒,广州白云山明兴制药有限公司,17.80,2021-04-30,10g*20袋,16836
帝豪旗舰店,甘肃西峰 补肺丸,甘肃省西峰制药有限责任公司,245.00,2021-12-31,9g*10丸*4小板,3804
帝豪旗舰店,理洫王 血塞通软胶囊,昆明华润圣火药业有限公司,24.70,2021-11-26,0.33g*24粒,23177
帝豪旗舰店,亚宝 丁桂儿脐贴,亚宝药业集团股份有限公司,12.50,2020-09-30,1.6g*2贴,36006
帝豪旗舰店,芬必得 布洛芬缓释胶囊,中美天津史克制药有限公司,16.50,2021-11-11,0.3g*20粒,78185
帝豪旗舰店,倍他乐克 酒石酸美托洛尔片,阿斯利康制药有限公司,7.15,2021-07-31,25mg*20片,194495
帝豪旗舰店,上海凯合荣 复方丹参片,上海凯合荣图们药业有限公司,8.60,2021-12-31,200片(薄膜衣),203418
帝豪旗舰店,钙尔奇 碳酸钙D3片,惠氏制药有限公司,57.00,2021-09-08,600mg*60片,86267
帝豪旗舰店,富露施 乙酰半胱氨酸颗粒,海南赞邦制药有限公司,13.56,2021-11-30,0.1g*10袋,0
帝豪旗舰店,美林 布洛芬混悬液,上海强生制药有限公司,21.55,2021-08-31,100ml,28842
帝豪旗舰店,江中 健胃消食片,江中药业股份有限公司,7.15,2020-06-30,0.5g*12片*3板,68326
帝豪旗舰店,顺尔宁 孟鲁司特钠咀嚼片,Merck Sharp & Dohme B.V.,32.80,2020-03-11,4mg*5片,47233
帝豪旗舰店,广东宏盈 秀瞳 氯霉素滴眼液,广东宏盈科技有限公司,1.39,2020-03-04,8ml:20mg,134436
帝豪旗舰店,达喜 铝碳酸镁片,拜耳医药保健有限公司,21.80,2023-10-07,0.5g*20片,121380
帝豪旗舰店,雷易得 恩替卡韦分散片,苏州东瑞制药有限公司,65.00,2021-04-16,0.5mg*7片,2572
帝豪旗舰店,氨咖黄敏胶囊,龙晖药业有限公司,1.60,2020-08-31,12粒,20302
帝豪旗舰店,史克肠虫清 阿苯达唑片,中美天津史克制药有限公司,11.50,2022-12-29,0.2g*10片(薄膜衣),34220
帝豪旗舰店,吉加 厄贝沙坦片,江苏恒瑞医药股份有限公司,5.90,2020-08-23,0.15g*7片,155252
帝豪旗舰店,顺峰康王 酮康他索乳膏,广东华润顺峰药业有限公司,6.78,2021-07-09,10g,110987
帝豪旗舰店,海外 布洛芬缓释胶囊,长春海外制药集团有限公司,4.98,2020-11-30,0.3g*20粒,195136
帝豪旗舰店,桂林三金 三金片,桂林三金药业股份有限公司,21.80,2020-03-26,0.29g*54片,56636
帝豪旗舰店,万通 复方金钱草颗粒,广西万通制药有限公司,14.50,2020-08-31,10g*10袋,39246
帝豪旗舰店,吗丁啉 多潘立酮片,西安杨森制药有限公司,17.39,2023-06-30,10mg*30片,0
帝豪旗舰店,立效 止嗽立效丸,山西华康药业股份有限公司,8.50,2022-01-31,6g*6袋,61181
帝豪旗舰店,拜阿司匹灵 阿司匹林肠溶片,Bayer S.p.A.,16.90,2021-10-06,100mg*30片,455344
帝豪旗舰店,易坦静 氨溴特罗口服溶液,北京韩美药品有限公司,24.90,2022-01-28,60ml,96262
帝豪旗舰店,甘肃独一味 参芪五味子胶囊,康县独一味生物制药有限公司,8.00,2020-08-31,0.25g*24粒,2054
帝豪旗舰店,鲁南厚普 小儿消积止咳口服液,鲁南厚普制药有限公司,42.00,2021-02-28,10ml*10支,15326
帝豪旗舰店,西双版纳版纳 秋水仙碱片,西双版纳版纳药业有限责任公司,4.98,2021-09-30,0.5mg*20片,131298
帝豪旗舰店,惠松 复方鱼腥草合剂,浙江惠松制药有限公司,9.80,2020-02-29,10ml*10支,3506
帝豪旗舰店,中一 滋肾育胎丸,广州白云山中一药业有限公司,138.00,2022-11-30,5g*6袋,476
帝豪旗舰店,扶他林 双氯芬酸二乙胺乳胶剂,北京诺华制药有限公司,21.00,2021-09-30,20g:0.2g,42602
帝豪旗舰店,片仔癀 川贝清肺糖浆,漳州片仔癀药业股份有限公司,8.00,2022-03-09,120ml,17022
帝豪旗舰店,朗依 硝呋太尔制霉素阴道软胶囊,北京金城泰尔制药有限公司,23.80,2020-02-29,6粒,63859
帝豪旗舰店,玉林 正骨水,广西玉林制药集团有限责任公司,5.50,2021-05-31,12ml,68138
帝豪旗舰店,百多邦 莫匹罗星软膏,中美天津史克制药有限公司,14.50,2020-10-31,5g,41032
帝豪旗舰店,安博维 厄贝沙坦片,赛诺菲(杭州)制药有限公司,36.30,2021-04-30,0.15g*7片,16273
帝豪旗舰店,达克宁 硝酸咪康唑乳膏,西安杨森制药有限公司,18.50,2023-06-30,20g,0
帝豪旗舰店,白云山 板蓝根颗粒,广州白云山和记黄埔中药有限公司,14.00,2020-03-31,3g*20袋,2257
帝豪旗舰店,西比灵 盐酸氟桂利嗪胶囊,西安杨森制药有限公司,26.06,2021-08-31,5mg*20粒,0
帝豪旗舰店,顺峰康霜 曲咪新乳膏,广东华润顺峰药业有限公司,3.28,2020-05-15,10g,94341
帝豪旗舰店,白云山 金戈 枸橼酸西地那非片,广州白云山医药集团股份有限公司白云山制药总厂,27.90,2021-09-30,50mg*1片,34018
帝豪旗舰店,芬必得 布洛芬缓释胶囊,中美天津史克制药有限公司,18.50,2021-08-20,0.3g*20粒,78185
帝豪旗舰店,白云山 禾穗速校 氨咖黄敏胶囊,广州白云山光华制药股份有限公司,5.99,2020-09-30,12粒,0
帝豪旗舰店,白云山 氢溴酸右美沙芬片,广州白云山光华制药股份有限公司,6.00,2020-10-31,15mg*24s,71013
帝豪旗舰店,明兴 清开灵颗粒,广州白云山明兴制药有限公司,19.80,2021-04-30,10g*20袋,16727
帝豪旗舰店,盛翔 强力枇杷露,江西盛翔制药有限公司,4.50,2020-10-31,150ml,58490
