供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
采药易,(绿药膏)林可霉素利多卡因凝胶,湖北舒邦药业有限公司,1.48,2019.05.31,10g,4000
采药易,福牌 阿胶,山东福胶集团东阿镇阿胶有限公司,355.00,2020.07.31,250g(纸盒),20745
采药易,东阿阿胶 鹿角胶,东阿阿胶股份有限公司,598.00,2022.12.12,6g*18块,240
采药易,东阿 复方阿胶浆,山东东阿阿胶股份有限公司,258.00,2021.11.06,20ml*48支,7767
采药易,同仁堂 阿胶,北京同仁堂(唐山)营养保健品有限公司,299.90,2021.02.28,250g(黄色铁盒),2285
采药易,拜阿司匹灵 阿司匹林肠溶片,Bayer S.p.A.,14.50,2021.09.10,100mg*30片,765237
采药易,马应龙 麝香痔疮膏,马应龙药业集团股份有限公司,7.98,2021.08.31,10g,210422
采药易,希刻劳 头孢克洛干混悬剂,礼来苏州制药有限公司,18.80,2019.06.30,0.125g*6袋,162528
采药易,代文 缬沙坦胶囊,北京诺华制药有限公司,31.90,2021.11.30,80mg*7粒,132858
采药易,意可贴 醋酸地塞米松粘贴片,深圳太太药业有限公司,14.62,2020.07.31,0.3mg*5片,48605
采药易,倍他乐克 酒石酸美托洛尔片,阿斯利康制药有限公司,6.45,2021.07.31,25mg*20片,920646
采药易,枸橼酸西地那非片,常山生化药业(江苏)有限公司,68.00,2019.11.30,50毫克*4片,70
采药易,嘉林阿乐 阿托伐他汀钙片,北京嘉林药业股份有限公司,15.40,2021.07.31,10mg*7片,221872
采药易,妈富隆 去氧孕烯炔雌醇片,N.V. Organon,44.58,2020.01.31,30ug*21片,45029
采药易,立普妥 阿托伐他汀钙片,辉瑞制药有限公司,51.85,2021.07.31,20mg*7片,234605
采药易,999 皮炎平 复方醋酸地塞米松乳膏,华润三九医药股份有限公司,7.48,2021.09.30,20g,264520
采药易,波依定 非洛地平缓释片,阿斯利康制药有限公司,29.30,2021.07.31,5mg*10片,157828
采药易,吴太 感康 复方氨酚烷胺片,吉林省吴太感康药业有限公司,11.98,2021.07.31,12片,138786
采药易,贵州百灵 咳速停糖浆,贵州百灵企业集团制药股份有限公司,7.60,2020.08.22,100ml,44441
采药易,漳州片仔癀 片仔癀,漳州片仔癀药业股份有限公司,435.00,2023.09.04,3g*1粒,8807
采药易,怡神保 甲钴胺片,华北制药股份有限公司,5.98,2021.06.30,0.5mg*20片,31438
采药易,浙江鼎泰 复方酮康唑软膏,浙江鼎泰药业股份有限公司,2.88,2020.12.31,7g,61449
采药易,红源达 多糖铁复合物胶囊,上海医药集团青岛国风药业股份有限公司,27.90,2021.10.31,0.15g*10粒,49541
采药易,保列治 非那雄胺片,Merck Sharp & Dohme Ltd.,57.40,2021.06.06,5mg*10片,31647
采药易,黛力新 氟哌噻吨美利曲辛片,H. Lundbeck A/S,52.50,2021.04.30,(0.5mg+10mg)*20片,81897
采药易,施慧达 苯磺酸左旋氨氯地平片,施慧达药业集团(吉林)有限公司,26.58,2021.12.31,2.5mg*14片,60728
采药易,葵花 小儿氨酚烷胺颗粒,葵花药业集团(唐山)生物制药有限公司,7.60,2020.10.31,6g*12袋,14766
采药易,寿比山 吲达帕胺片,天津力生制药股份有限公司,18.30,2021.05.16,2.5mg*30片(薄膜片),60136
采药易,白云山 脑络通胶囊,广州白云山光华制药股份有限公司,13.70,2020.10.31,0.5g*30s,52876
采药易,贵州三力 开喉剑喷雾剂(儿童型),贵州三力制药股份有限公司,23.80,2020.08.29,15ml,22986
采药易,以岭 参松养心胶囊,北京以岭药业有限公司,22.80,2021.10.31,0.4g*36粒,67842
采药易,明兴 感冒通 氯芬黄敏片,广州白云山明兴制药有限公司,7.90,2021.02.28,48片,15430
采药易,广誉远国药 龟龄集,山西广誉远国药有限公司,270.00,2022.06.11,0.3g*30粒,487
采药易,倍博特 缬沙坦氨氯地平片(I),Novartis Farmaceutica S.A.,49.90,2021.04.30,80mg:5mg*7片,44167
采药易,玛特纳 复方多维元素片(23),惠氏制药有限公司,68.00,2020.01.25,60片,3684
采药易,广东心宝 心宝丸,广东心宝药业科技有限公司,8.35,2020.02.29,60mg*20丸,34330
采药易,白云山 维得清 萆薢分清丸,广州白云山医药集团股份有限公司白云山制药总厂,1.99,2019.11.19,6g*10瓶,1913
采药易特推,山东益健 林平 缬沙坦分散片,山东益健药业有限公司,15.80,2020.08.31,80mg*20片,577
采药易特推,青海晶珠 舒心安神口服液,青海晶珠藏药高新技术产业股份有限公司,19.80,2020.01.22,10ml*10支,337
采药易,河南天方 尼可地尔片,天方药业有限公司,12.80,2020.10.31,5mg*24片,22975
采药易,舒泰得 雷贝拉唑钠肠溶片,山东新华制药股份有限公司,12.90,2021.01.06,10mg*8片,14168
采药易,瑞扬 非布司他片,江苏恒瑞医药股份有限公司,80.50,2020.11.12,40mg*10片,14978
采药易,凯莱克林 盐酸克林霉素棕榈酸酯分散片,广州一品红制药有限公司,13.50,2021.04.30,75mg*8片,13940
采药易,弘明远 苯磺酸左旋氨氯地平片,南昌弘益药业有限公司,4.80,2020.11.25,2.5mg*14s,112501
采药易,西乐葆 塞来昔布胶囊,辉瑞制药有限公司,31.50,2021.04.30,0.2g*6粒,47621
采药易,寿比山 吲达帕胺片,天津力生制药股份有限公司,18.50,2021.08.26,2.5mg*30片(糖衣片),87959
采药易,立卫克 奥美拉唑肠溶胶囊,悦康药业集团有限公司,5.28,2020.10.31,20mg*28粒,1660
采药易,跳跳猴医用冷敷凝胶（退热型）,潮洲市亿生健医药保健品有限公司,18.90,2021.01.26,60ml/支,197
采药易,拜新同 硝苯地平控释片,拜耳医药保健有限公司,49.00,2021.09.27,30mg*7片,96329
采药易,补佳乐 戊酸雌二醇片,拜耳医药保健有限公司广州分公司,29.60,2023.06.06,1mg*21片,0
采药易,嘉应 双料喉风散,广东嘉应制药股份有限公司,8.50,2022.10.31,2.2g,63730
采药易,同仁堂 金匮肾气丸,北京同仁堂科技发展股份有限公司制药厂,10.80,2022.06.30,360粒,181221
采药易,伊利欣 氯雷他定颗粒,江苏苏中药业集团股份有限公司,4.90,2021.09.30,5mg*12袋,29510
采药易,氨酚羟考酮片(泰勒宁),SpecGx LLC,48.80,2023.07.31,5mg/325mg*10s,0
采药易,甘肃独一味 独一味软胶囊,康县独一味生物制药有限公司,6.90,2020.03.31,0.58g12s*2板,64
采药易特推,苯磺酸氨氯地平片,浙江为康制药有限公司,13.50,2020.07.31,5mg*21片*2板,169
采药易,药都樟树 大活络胶囊,江西药都樟树制药有限公司,8.80,2019.09.30,0.25g*24粒,13471
采药易,希刻劳 头孢克洛干混悬剂,礼来苏州制药有限公司,20.80,2019.06.30,0.125g*6袋,162523
采药易,朗依 硝呋太尔制霉素阴道软胶囊,北京金城泰尔制药有限公司,21.98,2020.02.29,6粒,92831
采药易,999 感冒灵颗粒,华润三九医药股份有限公司,10.98,2020.04.30,10g*9袋,0
采药易特推,半边天 乌鸡白凤丸,江西半边天药业有限公司,19.50,2019.12.31,6g*20袋,7010
采药易,顺尔宁 孟鲁司特钠咀嚼片,Merck Sharp & Dohme B.V.,37.80,2020.02.12,5mg*5片,24214
采药易,汇仁 肾宝片,江西汇仁药业股份有限公司,235.00,2020.12.31,0.7g*9片*2板*7小盒,0
采药易,四川大冢 白三平 孟鲁司特钠咀嚼片,四川大冢制药有限公司,38.80,2020.05.06,5mg*7片,198
采药易,寿比山 吲达帕胺片,天津力生制药股份有限公司,20.50,2021.05.16,2.5mg*30片(薄膜片),59923
采药易,天士力 藿香正气滴丸,天士力医药集团股份有限公司,7.50,2020.10.31,2.6g*6袋,4797
采药易,华润紫竹 蜂胶口腔膜,华润紫竹药业有限公司,10.50,2021.07.06,1cm*1.3cm*5片*4袋,762
采药易,同仁堂 杞菊地黄丸,北京同仁堂科技发展股份有限公司制药厂,13.48,2022.04.30,9g*10丸(大蜜丸),615
采药易,爱乐维 复合维生素片,拜耳医药保健有限公司,71.91,2020.03.14,30片,45222
采药易,黄氏 黄氏响声丸,无锡济民可信山禾药业股份有限公司,17.50,2021.12.31,0.133g*108丸,320
采药易特推,石家庄四药 参乌健脑胶囊(抗脑衰胶囊),石家庄四药有限公司,13.60,2021.10.13,0.3g*10粒*3板,1505
采药易,云南白药 云丰 气血康口服液,云南白药集团文山七花有限责任公司,35.00,2020.12.31,10ml*10支,0
采药易特推,片仔癀 川贝清肺糖浆,漳州片仔癀药业股份有限公司,14.50,2021.12.05,120ml,4305
采药易,美林 布洛芬混悬液,上海强生制药有限公司,20.50,2021.08.31,100ml,73356
采药易,星群 夏桑菊颗粒,广州白云山星群(药业)股份有限公司,17.32,2021.04.30,10g*20袋,11328
采药易,三普 心脑欣胶囊,三普药业有限公司,11.60,2020.04.30,0.5g*20s,3533
采药易,南京正大 托妥 瑞舒伐他汀钙片,南京正大天晴制药有限公司,22.80,2020.07.31,10mg*7片,0
采药易,意可贴 醋酸地塞米松粘贴片,深圳太太药业有限公司,16.55,2020.07.31,0.3mg*5片,48602
采药易,德众 鼻炎康片,国药集团德众(佛山)药业有限公司,18.36,2021.03.09,0.37g*72片,42233
采药易,德众 鼻炎康片,国药集团德众(佛山)药业有限公司,16.80,2021.03.09,0.37g*72片,42243
