供应商名称,商品名称,生产厂家,销售价,有效期
绰迪象旗舰店,泰国Lanna兰纳足贴,泰国Lanna,14.00,
绰迪象旗舰店,泰国RAY蚕丝面膜金色,泰国RAY,65.00,
绰迪象旗舰店,泰国RAY蚕丝面膜银色,泰国RAY,55.00,
绰迪象旗舰店,chohkdee泰国天然乳胶枕头枕头成人45D按摩款保健枕护颈枕橡胶枕,泰国Chohkdee绰迪象,220.00,
嗨菲客,澳大利亚惠氏WyethS26金装奶粉3段,Aspen Nutritionals Australia Pty Ltd.,138.00,2020年以后
花语海外,澳洲Blackmores澳佳宝深海鱼油胶囊无腥味,澳洲Blackmores,145.00,
嗨菲客,新西兰惠氏WyethS26金装奶粉1段,Aspen Nutritionals Australia Pty Ltd.,167.00,2020年后
花语海外,澳洲Swisse瑞思葡萄籽精华片,澳洲Swisse,129.00,2021年
嗨菲客,澳洲Aptamil爱他美爱他美金装奶粉3段(1-2周岁宝宝),澳洲Aptamil爱他美,188.00,2020年以后
花语海外,Maxigenes蓝莓护眼片150粒,Maxigenes,88.00,
海淘城,韩国美迪惠尔Mediheal水润保湿面膜,Mediheal美迪惠尔,59.00,
海淘城,韩国春雨PapaRecipe蜂蜜保湿补水面膜(黄色),韩国春雨PapaRecipe,76.00,
绰迪象旗舰店,泰国Mistine羽翼粉饼定妆修容防晒遮瑕保湿控油粉饼S1色象牙白,泰国Mistine,40.00,
嗨菲客,荷兰Herobaby美素奶粉白金板3段,瑞士Hero集团,132.50,2020年以后
日本荣进制药,日本荣进制药消水丸去水肿祛湿气保健品100g（10ｇ×10包）,日本荣进制药株式会社,138.00,
绰迪象旗舰店,泰国boots小黄瓜面膜青瓜面膜3分钟急救补水面膜美白保湿修复,泰国boots,30.00,
集洋百货,Friso美素佳儿金装奶粉2段,FrieslandCampina,238.00,
嗨菲客,荷兰Herobaby美素奶粉白金板2段,瑞士Hero集团,132.80,2020年以后
绰迪象旗舰店,泰国VOODOO蛇毒卸妆洁面乳二合一洗面奶深层清洁控油祛痘,泰国VOODOO,35.00,
日本药健,新谷酵素酵母发酵222种生酵素健康减肥,新谷,80.00,
绰迪象旗舰店,泰国white去黑头芦荟胶去黑头黑头胶黑头水芦荟胶,泰国white,6.00,
海淘城,韩国JAYJUN水光面膜三部曲baby新生焕白樱花面膜贴10片*盒,JAYJUN/水光,99.00,
日本药健,metabolic凹酵素曲线减腰腹植物酵素30日针对腰部大肚子的克星,metabolic,165.00,
绰迪象旗舰店,泰国Mistine24小时不易脱妆粉底液防水隔离控油遮瑕SPF15粉底液F1色,泰国Mistine,35.00,
日本药健,久光制药Hisamitsu父母老人腰腿关节膏药贴止痛贴,久光制药,45.00,
嗨菲客,澳大利亚Devondale德运高钙全脂牛奶粉中老年人成人学生奶粉,澳大利亚Devondale德运,78.00,2019年6月以后（效期至少是19年6月份）
集洋百货,德国Balea芭乐雅玻尿酸安瓶浓缩精华提拉紧致定妆安瓶7瓶装,德国Balea,58.00,
绰迪象旗舰店,泰国正品BeautyBuffet牛奶去角质凝胶去死皮啫喱面部男女,泰国BeautyBuffet,42.00,
绰迪象旗舰店,泰国 Mistine AQUA防晒喷雾,泰国Mistine,30.00,20年5月
绰迪象旗舰店,泰国BeautyBuffetQ10牛奶洗面奶mei白补水滋润,泰国BeautyBuffet,30.00,
爸比喵购,澳洲Bioisland孕妇DHA海藻油,澳洲佰澳朗德BioIsland,145.00,
爸比喵购,泰国KROKO美人鱼肚脐贴减肥燃烧卡路里,泰国,26.00,
蜜汀海购,全球最好去疤膏Alliance疤克祛疤膏去手术疤痕减少瘙痒抚平软化疤痕整形烧伤等可用,SynovisMicroCompaniesAllianceInc,180.00,2022/03
易采购海外,美国进口kelo-cote疤克祛疤膏硅凝胶软膏 烧伤整形抚平疤痕修复（香港直邮）,SynovisMicroCompaniesAllianceInc,189.00,
易采购海外,日本进口参天（santen-fx）fx眼药水金色 V  清凉度 5 ,参天制药株式会社,26.90,2020/6
爸比喵购,韩国后天气丹套盒,韩国后,1300.00,
易采购海外,美国进口kelo-cote疤克祛疤膏硅凝胶软膏 烧伤整形抚平疤痕修复（香港直邮）,SynovisMicroCompaniesAllianceInc,189.00,
日本药健,日本帝人非布司他片高尿酸症痛风关节10mg,帝人制药株式会社,980.00,
海淘易购,美国芭克祛疤凝胶,美国莫伯格制药有限公司,298.00,
海淘易购,美国芭克祛疤凝胶,美国莫伯格制药有限公司,369.00,
绰迪象旗舰店,泰国Atreus 24K黄金眼膜眼贴淡化细纹提拉舒缓去黑眼圈眼袋,泰国ATREUS,40.00,
橙品,加拿大TRODAKIN赛特健利尿酸60粒,VivaPharmaceuticalInc,99.00,2021-4-3
爸比喵购,韩国莱斯碧RECIPE水晶防晒喷雾小瓶带防伪150ml,莱斯碧RECIPE,51.90,
牛顿屋,澳洲Bioisland孕妇DHA海藻油,澳洲佰澳朗德BioIsland,128.00,
牛顿屋,澳洲Bioisland婴幼儿DHA海藻油,澳洲佰澳朗德BioIsland,85.90,
蜜汀海购,兰蔻（LANCOME） 兰蔻粉水清滢柔肤水 大粉水400ml,兰蔻/LANCOME,328.00,
仁仨行,德国博朗BRAUN耳温枪IRT6520,德国博朗Braun,328.00,
