通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
 普通脱脂纱布口罩    14*18*12(1个*10个/中包), ,14*18*12(1个*10个/中包),1  包  ,赣卫消字(2003)第034号 ,南昌市恩惠医用卫生材料有限公司 ,湖南同安医药有限公司,有
棉签HN-002简装 棉签    10cm50支单头,棉签HN-002简装 ,10cm50支单头,720  袋  ,鲁青械备20160233号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 约束带(医用手部固定带)    1条/盒, ,1条/盒,1  盒  ,沪食药监械(准)字2012第1260877号 ,上海瑞瀚保健用品制造有限公司 ,佛山健多多医疗器械有限公司,有
 米沙瓦米沙瓦棉签    10cm*50支/包, ,10cm*50支/包,1  包  ,鄂潜食药监械(准)字2013第1640002号 ,湖北省潜江市江赫医用材料有限公司 ,佛山健多多医疗器械有限公司,有
 千江双头棉签(120支心型)    120支/盒(心型）, ,120支/盒(心型）,1  盒  ,鲁青械备20160082号 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 冰雪牌灭菌棉签    12CM 20支*10包, ,12CM 20支*10包,1  包  ,粤穗械备20140057号 ,广州市番禺康安卫生用品厂 ,佛山健多多医疗器械有限公司,有
 医用胶布(网型无纺布)    25*500cm/卷, ,25*500cm/卷,1  盒  ,沪食药监械(准)字2010第1640785号 ,上海卫生材料厂有限公司 ,佛山健多多医疗器械有限公司,有
 健之佳医用冷敷眼罩    1个/盒, ,1个/盒,1  盒  ,鲁青械备20160283号 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
医用冷敷头带 医用冷敷头带    1台/盒,医用冷敷头带 ,1台/盒,1  盒  ,鲁青食药监械(准)字2014第1580020号 ,青岛沃普艾斯日用品有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 医用集尿袋接尿器 女生床挂式 健之佳 医用集尿袋接尿器 女生床挂式    JZJ-JND-B/500ml/盒,健之佳 医用集尿袋接尿器 女生床挂式 ,JZJ-JND-B/500ml/盒,1  瓶  ,鲁青械备20160258号 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 医用冰袋 适用于胰岛素 健之佳 医用冰袋 适用于胰岛素    1个/盒,健之佳 医用冰袋 适用于胰岛素 ,1个/盒,1  盒  ,鲁青食药监械生产备20150025号 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 医用棉签（不含荧光剂） 健之佳 医用棉签（不含荧光剂）    150支,健之佳 医用棉签（不含荧光剂） ,150支,1  盒  ,浙金食药监械(准)字2013第1640024号 ,浙江红雨医药用品有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 医用阴道冲洗器 一次性冲洗器 灭菌级 健之佳 医用阴道冲洗器 一次性冲洗器 灭菌级    100ml,健之佳 医用阴道冲洗器 一次性冲洗器 灭菌级 ,100ml,1  包  ,粤穗械备20150085号 ,广州永益医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
医用静脉曲张压缩袜 （中筒式小腿套） 医用静脉曲张压缩袜 （中筒式小腿套）    一盒,医用静脉曲张压缩袜 （中筒式小腿套） ,一盒,1  盒  ,浙食药监械（准）字2010第2640535号 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
欧纯创口贴（弹力防水型） 欧纯创口贴（弹力防水型）    6片*20袋/盒,欧纯创口贴（弹力防水型） ,6片*20袋/盒,1  盒  ,鲁青械备20160080号 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
