通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
邦尔洁*高效单体银妇用抗菌凝胶 邦尔洁*高效单体银妇用抗菌凝胶    3g/支3支/盒*200盒/件,邦尔洁*高效单体银妇用抗菌凝胶 ,3g/支3支/盒*200盒/件,1  盒  ,吉食药监械生产许20150085号吉食药监械生产许20150085号 ,吉林邦安宝医用设备有限公司 ,惠州市利佳康园医药科技有限公司,有
邦尔洁*高效单体银妇用抗菌凝胶 邦尔洁*高效单体银妇用抗菌凝胶    3g/支3支/盒*200盒/件,邦尔洁*高效单体银妇用抗菌凝胶 ,3g/支3支/盒*200盒/件,1  盒  ,吉食药监械生产许20150085号吉食药监械生产许20150085号 ,吉林邦安宝医用设备有限公司 ,惠州市信合惠通实业有限公司,有
渠道 阴舒宁洗液    30ml, ,30ml,200  盒  ,川(德阳)卫消证字(2014)第0009号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,四川省优胜美特医药有限公司,无
 百安洗液    100ml, ,100ml,1  瓶  , ,国药集团致君（深圳）坪山制药有限公司 ,广州市巨孚达医药有限公司,有
 阴舒宁洗液    30ml, ,30ml,1  盒  ,川(德阳)卫消证字(2014)第0009号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,成都拜欧药业股份有限公司,有
渠道 阴舒宁洗液    125ml, ,125ml,60  盒  ,川(德阳)卫消证字(2002)第045号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,四川省优胜美特医药有限公司,无
 百安洗液    100ml, ,100ml,1  瓶  , ,国药集团致君（深圳）坪山制药有限公司 ,广州市振康医药有限公司,有
渠道 阴舒宁洗液    125ml, ,125ml,60  盒  ,川(德阳)卫消证字(2002)第045号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,四川仁通医药有限公司,无
渠道 阴舒宁洗液    30ml, ,30ml,200  盒  ,川(德阳)卫消证字(2014)第0009号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,四川仁通医药有限公司,无
 圣君堂痛经贴    6贴, ,6贴,1  盒  , ,山西圣君药业有限公司 ,中山市龙裕医药有限公司,无
 阴舒宁洗液    30ml, ,30ml,1  盒  ,川(德阳)卫消证字(2014)第0009号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,四川泓坤医药贸易有限公司,无
洁尔阴女性护理液 洁尔阴女性护理液    200ml.,洁尔阴女性护理液 ,200ml.,24  盒  ,(川）卫消证字[2008]第0018号 ,四川恩威制药有限公司 ,武汉启元医药有限公司,无
 阴晴女性平衡洗液(喷雾型)    30ml, ,30ml,60  瓶  ,渝卫消证字[2006]第464号 ,重庆灵方生物技术有限公司 ,重庆真善美医药有限公司,无
 阴舒宁洗液    125ml, ,125ml,1  盒  ,川(德阳)卫消证字(2002)第045号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,四川泓坤医药贸易有限公司,无
 甲硝唑氯已定洗剂    250ml, ,250ml,1  盒  , ,海南皇隆制药股份有限公司 ,瑞康医药（苏州）有限公司,无
 阴舒宁洗液    125ml, ,125ml,60  盒  ,川(德阳)卫消证字(2002)第045号 ,德阳市阴舒宁医用消毒药剂有限责任公司 ,成都拜欧药业股份有限公司,有
洁尔阴女性护理液 洁尔阴女性护理液    200ml.,洁尔阴女性护理液 ,200ml.,1  盒  ,(川）卫消证字[2008]第0018号 ,四川恩威制药有限公司 ,成都拜欧药业股份有限公司,有
 阴晴牌女性平衡洗液(浓缩型)    180ml, ,180ml,1  瓶  ,渝卫消证字[2006]第464号 ,重庆灵方生物技术有限公司 ,重庆赛力君安医药有限公司,有
妇炎洁植物本草抑菌洗液 妇炎洁植物本草抑菌洗液    380ML.,妇炎洁植物本草抑菌洗液 ,380ML.,50  盒  ,赣卫消证字（2010）第0003号 ,江西康美医药保健品有限公司 ,成都拜欧药业股份有限公司,有
渠道 黄柏洗液    260ml, ,260ml,80  盒  ,豫卫消证字(2012)第0012号 ,江西仁志生物科技有限公司 ,四川仁通医药有限公司,无
妇炎洁植物本草抑菌洗液 妇炎洁植物本草抑菌洗液    380ML.,妇炎洁植物本草抑菌洗液 ,380ML.,50  盒  ,赣卫消证字（2010）第0003号 ,江西康美医药保健品有限公司 ,湖北怡亚通瑞泽医药供应链有限公司,无
 甲硝唑氯已定洗剂    250ml, ,250ml,1  盒  , ,海南皇隆制药股份有限公司 ,深圳市同兴泰医药有限公司,无
