通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
健之佳 弹性绷带（护腿型）L 健之佳 弹性绷带（护腿型）L    (420-480mm)/个,健之佳 弹性绷带（护腿型）L ,(420-480mm)/个,1  盒  ,鲁青食药监械生产备20160007号 ,青岛兰旗生物工程有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（踝部KD4666） 康祝弹力绷带（踝部KD4666）    1双/盒,康祝弹力绷带（踝部KD4666） ,1双/盒,1  盒  ,京东食药监械生产备20150001号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（肘部）M码 康祝弹力绷带（肘部）M码    1个/盒,康祝弹力绷带（肘部）M码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（肘部）L码 康祝弹力绷带（肘部）L码    1个/盒,康祝弹力绷带（肘部）L码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（肘部）XXL码 康祝弹力绷带（肘部）XXL码    1个/盒,康祝弹力绷带（肘部）XXL码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带腰部 M码 康祝弹力绷带腰部 M码    1个/盒,康祝弹力绷带腰部 M码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带腰部 L码 康祝弹力绷带腰部 L码    1个/盒,康祝弹力绷带腰部 L码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带腰部 XL码 康祝弹力绷带腰部 XL码    1个/盒,康祝弹力绷带腰部 XL码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带腰部 XXL码 康祝弹力绷带腰部 XXL码    1个/盒,康祝弹力绷带腰部 XXL码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带膝部（一对）M码 康祝弹力绷带膝部（一对）M码    1个/盒,康祝弹力绷带膝部（一对）M码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具护踝KZ-H S码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具护踝KZ-H XL码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具 护腕KZ-W M码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带掌部KD4611 均码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带踝部KD4614 M码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具(护膝) L码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4619 S码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4619 L码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4619 XL码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-DJ远红外护肩运动保护(单肩)M码 一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-DJ远红外护肩运动保护(单肩)S码 一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-DJ远红外护肩运动保护(单肩)XXL码 一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝系列远红外护具护腰 S码    1个/盒, ,1个/盒,1  盒  ,京药监械(准)字2012第2260432号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝系列远红外护具护腰 XXL码    1个/盒, ,1个/盒,1  盒  ,京药监械(准)字2012第2260432号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-SJ远红外护肩运动保护(双肩) M码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4617 S码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4617 L码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部 KD4618 M码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部 KD4618 L码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 弹性绷带    7.5*450cm1个/包, ,7.5*450cm1个/包,1  包  ,苏徐械备20170003号 ,江苏米沙瓦医疗用品有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 弹性绷带（护颈型） 健之佳 弹性绷带（护颈型）    10,健之佳 弹性绷带（护颈型） ,10,1  盒  ,鲁青食药监械生产备20150025号 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 弹性绷带（护腿型）S 健之佳 弹性绷带（护腿型）S    (420-480mm)/个,健之佳 弹性绷带（护腿型）S ,(420-480mm)/个,1  盒  ,鲁青食药监械生产备20160005号 ,青岛兰旗生物工程有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 弹性绷带（护腿型）M 健之佳 弹性绷带（护腿型）M    (420-480mm)/个,健之佳 弹性绷带（护腿型）M ,(420-480mm)/个,1  盒  ,鲁青食药监械生产备20160006号 ,青岛兰旗生物工程有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（肩部KD4662) 康祝弹力绷带（肩部KD4662)    1条/盒,康祝弹力绷带（肩部KD4662) ,1条/盒,1  盒  ,京东食药监械生产备20150001号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带膝部（一对）XL码 康祝弹力绷带膝部（一对）XL码    1个/盒,康祝弹力绷带膝部（一对）XL码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具护踝KZ-H L码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具 护腕KZ-W S码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具 护腕KZ-W L码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护具 护腕KZ-W XL码    1套/盒, ,1套/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带踝部KD4614 L码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带肘部KD4613 均码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 远红外护具(护肘) KZ-Z L码    1套/盒, ,1套/盒,1  盒  ,京械注准20172260536 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 远红外护具(护肘) KZ-Z M码    1套/盒, ,1套/盒,1  盒  ,京械注准20172260536 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带膝部KD4619 XXL码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-DJ远红外护肩运动保护(单肩)XL码 一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护腿运动护具 KZ-T SM码一对    1对/盒, ,1对/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护腿运动护具 KZ-T S码一对    1对/盒, ,1对/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝远红外护腿运动护具 KZ-T XL码一对    1对/盒, ,1对/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝系列远红外护具护腰 M码    1个/盒, ,1个/盒,1  盒  ,京药监械(准)字2012第2260432号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝系列远红外护具护腰 L码    1个/盒, ,1个/盒,1  盒  ,京药监械(准)字2012第2260432号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-SJ远红外护肩运动保护(双肩) S码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-SJ远红外护肩运动保护(双肩) L码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝KZ-SJ远红外护肩运动保护(双肩) XL码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 康祝弹力绷带腕部 KD4612 均码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
 康祝弹力绷带掌部KD4611 均码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
 康祝弹力绷带膝部KD4619 M码一个    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
 康祝远红外护具(护膝) M码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
 康祝系列远红外护具护腰 M码    1个/盒, ,1个/盒,1  盒  ,京药监械(准)字2012第2260432号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
 康祝弹力绷带膝部 KD4618 L码    1个/盒, ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,广州骉骉医疗器械科技有限公司,有
健之佳 弹性绷带（护腿型）XL 健之佳 弹性绷带（护腿型）XL    (420-480mm)/个,健之佳 弹性绷带（护腿型）XL ,(420-480mm)/个,1  盒  ,鲁青食药监械生产备20160008号 ,青岛兰旗生物工程有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（腿部KD4665) 康祝弹力绷带（腿部KD4665)    1双/盒,康祝弹力绷带（腿部KD4665) ,1双/盒,1  盒  ,京东食药监械生产备20150001号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
康祝弹力绷带（肘部）XL码 康祝弹力绷带（肘部）XL码    1个/盒,康祝弹力绷带（肘部）XL码 ,1个/盒,1  盒  ,京东械备20160012号 ,北京康祝医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
