通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
华佗牌悦臻一次性针灸针 悦臻针灸针     0.25*40mm*100支/盒,华佗牌悦臻一次性针灸针 ,0.25*40mm*100支/盒,1  盒  ,苏械注准20162270970 ,苏州医疗用品厂有限公司 ,佛山健多多医疗器械有限公司,有
华佗牌悦臻一次性针灸针 悦臻针灸针     0.35*75mm*100支/盒,华佗牌悦臻一次性针灸针 ,0.35*75mm*100支/盒,1  盒  ,苏械注准20162270970 ,苏州医疗用品厂有限公司 ,佛山健多多医疗器械有限公司,有
无菌敷贴 无菌敷贴    10*15cm.40片/盒,无菌敷贴 ,10*15cm.40片/盒,20  盒  ,鲁械注准20142640041 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
脱脂棉球 棉球    50g装,脱脂棉球 ,50g装,100  袋  ,鲁青械备20140033号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
超值组合型5+5 创可贴    20袋,超值组合型5+5 ,20袋,50  盒  ,鲁青械备20140025号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
高弹PE型 创可贴    6片*40袋,高弹PE型 ,6片*40袋,30  盒  ,鲁青械备20140025号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
无菌敷贴 无菌敷贴    10*30cm.41片/盒,无菌敷贴 ,10*30cm.41片/盒,20  盒  ,鲁械注准20142640041 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
无菌敷贴 无菌敷贴    10*25cm.40片/盒,无菌敷贴 ,10*25cm.40片/盒,20  盒  ,鲁械注准20142640041 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
棉布型 压敏胶带    2.5cm*400cm,棉布型 ,2.5cm*400cm,400  盒  ,鲁青械备20140018号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
PE透气装.精装 压敏胶带    1.25cm*500cm24枚,PE透气装.精装 ,1.25cm*500cm24枚,40  盒  ,鲁青械备20140018号 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
 江航制氧机ZH-J10    1台/盒, ,1台/盒,1  盒  ,苏食药监械(准)字2012第2540573号 ,江苏江航医疗设备有限公司 ,佛山健多多医疗器械有限公司,有
 正品华佗牌针灸针 非一次性针灸针    200支/盒, ,200支/盒,1  盒  ,苏食药监械2012第2270864号 ,苏州医疗用品厂有限公司 ,佛山健多多医疗器械有限公司,有
 凯洋KY608J    1张/盒, ,1张/盒,1  盒  ,粤食药监械(准)字2013第2561061号 ,广东凯洋医疗科技集团有限公司 ,佛山健多多医疗器械有限公司,有
 好万家HYS-339治疗仪    1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2011第2260587号 ,深圳市好一生电子科技有限公司 ,佛山健多多医疗器械有限公司,有
 贝利斯BLB918    1台/盒, ,1台/盒,1  盒  ,粤械注准20162200419 ,深圳市家康科技有限公司 ,佛山健多多医疗器械有限公司,有
 三爱背背佳 肢体固定器    1套/盒, ,1套/盒,1  盒  ,鲁青械备20160163号 ,青岛三爱医疗科技有限公司 ,佛山健多多医疗器械有限公司,有
 仙鹤烤灯立式远红外线治疗仪CQ-6    1台/盒, ,1台/盒,1  盒  ,渝食药监械(准)字2014第2260006号 ,重庆航天火箭电子技术有限公司 ,佛山健多多医疗器械有限公司,有
 玻璃瓶启瓶器    1支/盒, ,1支/盒,1  盒  ,粤潮食药监械生产备20170001号 ,潮州顺兴发医疗科技有限公司 ,佛山健多多医疗器械有限公司,有
 凯洋助行器     1张/盒, ,1张/盒,1  个  ,粤食药监械(准)字2013第2561061号 ,广东凯洋医疗科技集团有限公司 ,佛山健多多医疗器械有限公司,有
 欧姆龙雾化器C30    1台/盒, ,1台/盒,1  盒  ,辽食药监械(准)字2011第25400016号 ,欧姆龙(大连)有限公司 ,佛山健多多医疗器械有限公司,有
 凯洋助行器     1张/盒, ,1张/盒,1  个  ,粤食药监械(准)字2013第2561061号 ,广东凯洋医疗科技集团有限公司 ,佛山健多多医疗器械有限公司,有
 欧姆龙雾化器C30    1台/盒, ,1台/盒,1  盒  ,辽食药监械(准)字2011第25400016号 ,欧姆龙(大连)有限公司 ,佛山健多多医疗器械有限公司,有
 美客电子烟雾化器NE-101    1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2012第2540117号 ,佛山市美客医疗科技有限公司 ,佛山健多多医疗器械有限公司,有
 欧姆龙雾化器C28    1台/盒, ,1台/盒,1  盒  ,辽食药监械(准)字2011第25400016号 ,欧姆龙(大连)有限公司 ,佛山健多多医疗器械有限公司,有
 新英牌阻鼾器    1台/盒, ,1台/盒,1  盒  ,京药监械(准)字2011第2260670号 ,北京创飞科技有限公司 ,佛山健多多医疗器械有限公司,有
 康恩宁.防褥疮垫（条纹型）防褥疮气垫    1张/盒, ,1张/盒,1  盒  ,苏食药监械(准)字2013第2560848号 ,江苏康恩宁医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 全日康中频治疗仪J18B    1台/盒, ,1台/盒,1  盒  ,京药监械(准)字2013第2260500号 ,北京金豪商贸有限公司 ,佛山健多多医疗器械有限公司,有
 民盛筋骨痛贴    8片/盒, ,8片/盒,1  盒  ,贵筑械备20160006号 ,贵州大通苗家医药科技有限公司 ,佛山健多多医疗器械有限公司,有
 方祥双弹式腰椎保健带    1条/盒, ,1条/盒,1  盒  ,杭州食药监械(准)字2013第1260001号 ,杭州市方祥医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 华伦牌神灯治疗仪CQJ-25B    1台/盒, ,1台/盒,1  盒  ,渝食药监械(准)字2012第2260090号(更) ,重庆华伦医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 全日康 电脑中频治疗仪J18A2     1台/盒, ,1台/盒,1  盒  ,京药监械(准)字2013第2260501号 ,北京金豪商贸有限公司 ,佛山健多多医疗器械有限公司,有
 好万家数码经络理疗仪HYS-339    1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2011第2260587号 ,深圳市好一生电子科技有限公司 ,佛山健多多医疗器械有限公司,有
 好万家数 经络治疗仪理疗仪HYS-3008     1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2011第2260587号 ,深圳市好一生电子科技有限公司 ,佛山健多多医疗器械有限公司,有
 华佗牌 SDZ-IIB型    1台/盒, ,1台/盒,1  盒  ,苏食药监械(准)字2013第2270095号 ,苏州医疗用品厂有限公司 ,佛山健多多医疗器械有限公司,有
 华伦HLH-1台式远红外线烤灯TDP神灯    1台/盒, ,1台/盒,1  盒  ,渝食药监械(准)字2014第2260115号 ,重庆华伦医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
 眼博士BS-G3S型弱视治疗仪    1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2012第2260942号 ,广州市博视医疗保健研究所 ,佛山健多多医疗器械有限公司,有
 凯迪泰双水平呼吸机 st25    1台/盒, ,1台/盒,1  台  ,苏械注准20152540219 ,苏州凯迪泰医学科技有限公司 ,佛山健多多医疗器械有限公司,有
 鼻腔清洗器海氏海诺    60ml/瓶, ,60ml/瓶,1  盒  ,鲁食药监械（准）字2013第2540532 ,海氏海诺乳胶(青岛)有限公司 ,佛山健多多医疗器械有限公司,有
 西门子耳背式心动助听器    1台/盒, ,1台/盒,1  盒  ,苏食药监械(准)字2012第2461278号 ,西门子听力仪器(苏州)有限公司 ,佛山健多多医疗器械有限公司,有
 仙鹤牌TDP神灯CQ-25    1台/盒, ,1台/盒,1  盒  ,渝食药监械(准)字2014第220006号 ,重庆航天火箭电子技术有限公司 ,佛山健多多医疗器械有限公司,有
 凯洋拐杖手杖KY932     1支/盒, ,1支/盒,1  支  ,粤食药监械(准)字2011第2560424号 ,广东凯洋医疗科技集团有限公司 ,佛山健多多医疗器械有限公司,有
 路扬 助行器 KY962L    1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2013第2561061号 ,广东凯洋医疗科技集团有限公司 ,佛山健多多医疗器械有限公司,有
