通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
润洁 复方硫酸软骨素滴眼液    10ml,润洁 ,10ml,504  盒  ,国药准字H20040653 ,山东博士伦福瑞达制药有限公司 ,广东壹号药业有限公司,有
三精 伏立康唑片    50mg*4片,三精 ,50mg*4片,100  盒  ,国药准字H20055840 ,成都泰合健康科技集团股份有限公司华神制药厂 ,广东壹号药业有限公司,有
纷乐 硫酸羟氯喹片    0.1g*14s,纷乐 ,0.1g*14s,200  盒  ,国药准字H19990263 ,上海上药中西制药有限公司 ,重庆亿昊药业有限公司,无
白云山 阿苯达唑片    0.2g*10片,白云山 ,0.2g*10片,300  盒  ,国药准字H44021549 ,广州白云山医药集团股份有限公司白云山制药总厂 ,广东壹号药业有限公司,无
彼乐奇 阿奇霉素分散片    0.25g*6片,彼乐奇 ,0.25g*6片,400  盒  ,国药准字H20065816 ,广东彼迪药业有限公司 ,广东壹号药业有限公司,无
赛乐林 罗红霉素胶囊    150mg*36粒,赛乐林 ,150mg*36粒,200  盒  ,国药准字H19990361 ,珠海联邦制药股份有限公司中山分公司 ,广东壹号药业有限公司,无
世扶尼 头孢地尼胶囊      0.1g*4s,世扶尼 ,  0.1g*4s,400  盒  ,国药准字H20054035 ,天津医药集团津康制药有限公司 ,广东壹号药业有限公司,无
北京泰德/凯那 贝前列素钠片    20μg*10片,北京泰德/凯那 ,20μg*10片,400  盒  ,国药准字H20083588 ,北京泰德制药股份有限公司 ,广东壹号药业有限公司,无
齐鲁 羟基脲片    500mg*100片,齐鲁 ,500mg*100片,100  盒  ,国药准字H37021289 ,齐鲁制药有限公司 ,广东壹号药业有限公司,无
舍悦 盐酸左氧氟沙星胶囊    0.1g*24粒,舍悦 ,0.1g*24粒,400  盒  ,国药准字H20103012 ,海南海神同洲制药有限公司 ,广东壹号药业有限公司,无
达力新 头孢呋辛酯胶囊    0.125g*12粒,达力新 ,0.125g*12粒,400  盒  ,国药准字H20000401 ,国药集团致君（深圳）制药有限公司 ,广东壹号药业有限公司,无
希刻劳   头孢克洛干混悬剂    125mg*6袋,希刻劳 ,125mg*6袋,200  盒  ,国药准字H10983028 ,礼来苏州制药有限公司 ,重庆亿昊药业有限公司,无
强力阿莫仙 阿莫西林克拉维酸钾片    0.457g*6片,强力阿莫仙 ,0.457g*6片,200  盒  ,国药准字H20010772 ,珠海联邦制药股份有限公司中山分公司 ,广东壹号药业有限公司,无
北京泰德/凯那 贝前列素钠片    20μg*10片,北京泰德/凯那 ,20μg*10片,400  盒  ,国药准字H20083588 ,北京泰德制药股份有限公司 ,广东壹号药业有限公司,无
拜复乐   盐酸莫西沙星片      0.4g*3片,拜复乐 ,  0.4g*3片,270  盒  ,国药准字J20150015 ,拜耳医药保健有限公司 ,广东壹号药业有限公司,无
齐鲁 羟基脲片    500mg*100片,齐鲁 ,500mg*100片,100  盒  ,国药准字H37021289 ,齐鲁制药有限公司 ,广东壹号药业有限公司,无
舍悦 盐酸左氧氟沙星胶囊    0.1g*24粒,舍悦 ,0.1g*24粒,400  盒  ,国药准字H20103012 ,海南海神同洲制药有限公司 ,广东壹号药业有限公司,无
世福素  头孢克肟颗粒    50mg*8袋,世福素 ,50mg*8袋,400  盒  ,国药准字H10940128 ,广州白云山医药集团股份有限公司白云山制药总厂 ,重庆亿昊药业有限公司,无
倍特 伊曲康唑胶囊    0.1g*7粒,倍特 ,0.1g*7粒,300  盒  ,国药准字H20010767 ,成都倍特药业有限公司 ,广东壹号药业有限公司,无
司佩定 头孢呋辛酯片    0.25g*6片,司佩定 ,0.25g*6片,200  盒  ,国药准字H20020192 ,广州白云山天心制药股份有限公司 ,广东壹号药业有限公司,无
京新 阿奇霉素片    0.25g*6片,京新 ,0.25g*6片,200  盒  ,国药准字H20058315 ,浙江京新药业股份有限公司 ,广东壹号药业有限公司,无
