通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
 星梦一滴灵(祛痱止痒护肤露)    25ml, ,25ml,1  瓶  ,XK16-1080397 ,上海丽达日化有限公司 ,重庆赛力君安医药有限公司,有
喜辽复修护凝胶喜辽复修护凝胶喜辽复 喜辽复修护凝胶    20g,喜辽复修护凝胶喜辽复修护凝胶喜辽复 ,20g,1  克  ,J20098880 ,美迪乐华公司 ,成都拜欧药业股份有限公司,有
 雪莲祛痘霜    20g, ,20g,1  支  ,卫妆准字29-xk-2389号 ,广州广德堂药业有限公司 ,东莞市力冉贸易有限公司,无
 蛇油膏    60 g, ,60 g,1  盒  ,(97)卫妆准字07-XK-0005号_ ,江苏隆力奇生物科技股份有限公司 ,中山市信通医药有限公司,无
白凡士林 白凡士林    500g,白凡士林 ,500g,48  瓶  , ,河南华凯生物科技有限公司 ,山东健志医药科技开发有限公司,无
 田七活络油    25ml, ,25ml,1  瓶  , ,江西圣仁实业有限公司 ,中山市龙裕医药有限公司,无
利肤适甘油 利肤适甘油    120ml,利肤适甘油 ,120ml,1  瓶  ,鄂妆生卫字[2015]第0001号 ,武汉南雪药业有限公司 ,中山市信通医药有限公司,无
 蛇油膏    60 g, ,60 g,24  盒  ,(97)卫妆准字07-XK-0005号_ ,江苏隆力奇生物科技股份有限公司 ,广东扬帆药业有限公司,无
利肤适橄榄油 利肤适橄榄油    120ml,利肤适橄榄油 ,120ml,1  瓶  ,鄂妆生卫字[2015]第0001号 ,武汉南雪药业有限公司 ,中山市信通医药有限公司,无
绿力芦荟胶 绿力芦荟胶    50g,绿力芦荟胶 ,50g,160  盒  ,2012）卫妆准字10-XK-025号 ,福州绿野生化技术有限公司 ,成都拜欧药业股份有限公司,有
 蛇油膏    20g+6g, ,20g+6g,360  袋  ,(97)卫妆准字07-XK-0005号_ ,江苏隆力奇生物科技股份有限公司 ,广东扬帆药业有限公司,无
 同仁堂祛斑润肤霜    45g, ,45g,1  盒  ,(2001)卫妆准字01-XK-0342号 ,北京同仁堂麦尔海生物技术有限公司 ,广州市济帆药业有限公司,无
白凡士林 白凡士林    500g,白凡士林 ,500g,48  瓶  , ,河南华凯生物科技有限公司 ,安徽腾尔健医药生物技术有限公司,无
