通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
I杜蕾斯至薄幻隐装 I杜蕾斯至薄幻隐装    1只,I杜蕾斯至薄幻隐装 ,1只,1  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,武汉锦俊凯贸易发展有限公司,有
G欧纯 一次性使用无菌敷贴（6cm*7cm） G欧纯 一次性使用无菌敷贴（6cm*7cm）    6cm*7cm,G欧纯 一次性使用无菌敷贴（6cm*7cm） ,6cm*7cm,1  盒  ,浙械注准20152640458 ,嘉兴美森医用材料有限公司 ,广州骉骉医疗器械科技有限公司,有
I魏氏磁疗骨痛贴 I魏氏磁疗骨痛贴    5贴,I魏氏磁疗骨痛贴 ,5贴,1  盒  ,甘食药监械（准）字2013第2260020号 ,天水魏氏彤泰药业有限公司 ,佛山健多多医疗器械有限公司,有
I杜蕾斯凸点螺纹热感装 I杜蕾斯凸点螺纹热感装    3只,I杜蕾斯凸点螺纹热感装 ,3只,1  盒  ,鲁食药监械(准)字2012第2660139号 ,青岛伦敦杜蕾斯有限公司 ,佛山健多多医疗器械有限公司,有
 京都血糖仪GT-1970    1台/盒, ,1台/盒,1  盒  ,YZB/沪6582-40-2013 ,爱科来国际贸易(上海)有限公司 ,佛山健多多医疗器械有限公司,有
 力康脉搏血氧饱和度仪    1台/盒, ,1台/盒,1  盒  ,YZB/粤0075-2011 ,深圳市科瑞康实业有限公司 ,佛山健多多医疗器械有限公司,有
 华佗牌新款SDZ-II电子针疗仪    1台/盒, ,1台/盒,1  盒  ,苏药准字2001第2270079号 ,苏州医疗用品厂有限公司 ,佛山健多多医疗器械有限公司,有
 艾宝艾灸宝    1支/盒, ,1支/盒,1  盒  ,Q/370285ZAT 001-2017 ,青岛真艾堂中医药科技有限公司 ,佛山健多多医疗器械有限公司,有
 成人活性炭立体口罩     5个/包, ,5个/包,1  包  ,GB2626-2006 ,厦门蓝星企业有限公司 ,佛山健多多医疗器械有限公司,有
 海氏海诺PM2.5立体无纺布成人防霾口罩    5只/盒, ,5只/盒,1  盒  ,Q/0285HNS006-2014 ,青岛海诺生物工程有限公司 ,佛山健多多医疗器械有限公司,有
