通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
 日本京都血糖仪GT1640    50条/盒, ,50条/盒,1  盒  ,国食药监械(进)字2012第2401577号 ,日本爱科来株式会社 ,佛山健多多医疗器械有限公司,有
 爱奥乐血糖仪    1台/盒, ,1台/盒,1  盒  ,粤械注准20142400126 ,爱奥乐医疗器械(深圳)有限公司 ,佛山健多多医疗器械有限公司,有
 贝利斯全自动电子血压计    1台/盒, ,1台/盒,1  盒  ,粤食药监械（准）字2014第2201385号 ,深圳市爱立康医疗股份有限公司 ,佛山健多多医疗器械有限公司,有
 欧姆龙电子血压计 HEM-6120    1台/盒, ,1台/盒,1  盒  ,辽食药监械(准)字2014第2200031号 ,欧姆龙(大连)有限公司 ,佛山健多多医疗器械有限公司,有
 爱奥乐血糖仪    1台/盒, ,1台/盒,1  盒  ,粤械注准20142400126 ,爱奥乐医疗器械(深圳)有限公司 ,佛山健多多医疗器械有限公司,有
 实捷手臂式电子语音血压计B57    1台/盒, ,1台/盒,1  盒  ,粤械注准20142200322 ,深圳市捷美瑞医疗技术有限公司 ,佛山健多多医疗器械有限公司,有
 天际-臂式电子血压计(语音) DX-B901D    1台/盒, ,1台/盒,1  盒  ,粤食药监械(准)字2012第2200718 ,广东天际电器股份有限公司 ,佛山健多多医疗器械有限公司,有
 健之佳护脐贴    10贴/盒, ,10贴/盒,1  盒  ,鲁械注准20142650167 ,山东长运医药用品有限公司 ,佛山健多多医疗器械有限公司,有
 健之佳婴儿护脐带    5条/盒, ,5条/盒,1  盒  ,皖蚌食药监械（准）字2013第1640002号 ,蚌埠崇迪生物科技有限公司 ,佛山健多多医疗器械有限公司,有
 倍稳III型血糖试纸    50片/盒, ,50片/盒,1  盒  ,浙食药监械(准)字2013第2400984号 ,微泰医疗器械(杭州)有限公司 ,佛山健多多医疗器械有限公司,有
佳禾医用固定带护腰带D02M码 佳禾医用固定带护腰带D02M码    1条/盒,佳禾医用固定带护腰带D02M码 ,1条/盒,1  盒  ,冀衡械备20140001号 ,冀州市佳禾医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
佳禾医用固定带护腰带D02XL码 佳禾医用固定带护腰带D02XL码    1条/盒,佳禾医用固定带护腰带D02XL码 ,1条/盒,1  盒  ,冀衡械备20140001号 ,冀州市佳禾医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
电子血压计 臂式 实捷B21 电子血压计 臂式 实捷B21    1台/盒,电子血压计 臂式 实捷B21 ,1台/盒,1  盒  ,粤械注准20142200322 ,深圳市捷美瑞医疗技术有限公司 ,佛山健多多医疗器械有限公司,有
实捷智能电子血压计 B63 实捷智能电子血压计 B63    1台/盒,实捷智能电子血压计 B63 ,1台/盒,1  盒  ,粤械注准20142200322 ,深圳市捷美瑞医疗技术有限公司 ,佛山健多多医疗器械有限公司,有
罗氏卓越金锐血糖试纸 罗氏卓越金锐血糖试纸    50片/盒,罗氏卓越金锐血糖试纸 ,50片/盒,1  盒  ,国食药监械(进)字2012第2404286号 ,德国罗氏诊断有限公司 ,佛山健多多医疗器械有限公司,有
佳禾护腰带D01腰围收腹带XL码 佳禾护腰带D01腰围收腹带XL码    1条/盒,佳禾护腰带D01腰围收腹带XL码 ,1条/盒,1  盒  ,冀衡食药监械生产备20140001号 ,冀州市佳禾医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
佳禾D13弧形护腰带L码 佳禾D13弧形护腰带L码    1条/盒,佳禾D13弧形护腰带L码 ,1条/盒,1  盒  ,冀衡食药监械生产备20140001号 ,冀州市佳禾医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
佳禾D13弧形护腰带XL码 佳禾D13弧形护腰带XL码    1条/盒,佳禾D13弧形护腰带XL码 ,1条/盒,1  盒  ,冀衡食药监械生产备20140001号 ,冀州市佳禾医疗器械有限公司 ,佛山健多多医疗器械有限公司,有
医用护理垫-婴儿床垫型 医用护理垫-婴儿床垫型    25*35cm*80片/包,医用护理垫-婴儿床垫型 ,25*35cm*80片/包,1  包  ,鲁青食药监械生产备20160021号 ,青岛哈尼笑笑护理用品科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 医用护理垫（械字号） 健之佳 医用护理垫（械字号）    60cm*60cm15片/包,健之佳 医用护理垫（械字号） ,60cm*60cm15片/包,1  包  ,鲁青械备20160017号 ,海氏海诺倍适威医疗用品(青岛)有限公司 ,佛山健多多医疗器械有限公司,有
护医生疤痕贴剖腹产疤痕手术疤去凹凸增生疤淡化外伤疙瘩 护医生疤痕贴剖腹产疤痕手术疤去凹凸增生疤淡化外伤疙瘩    12*8cm,护医生疤痕贴剖腹产疤痕手术疤去凹凸增生疤淡化外伤疙瘩 ,12*8cm,1  盒  ,粤食药监械准字2012第2640354号 ,青岛健之佳生物科技有限公司 ,佛山健多多医疗器械有限公司,有
健之佳 纱布卫生巾(医用护理垫)290mm*8片装 健之佳 纱布卫生巾(医用护理垫)290mm*8片装    400mm*100mm*8片装/盒,健之佳 纱布卫生巾(医用护理垫)290mm*8片装 ,400mm*100mm*8片装/盒,1  盒  ,鲁青械备20160087号 ,青岛千江生物工程有限公司 ,佛山健多多医疗器械有限公司,有
三诺安稳血糖仪 三诺安稳血糖仪    1台/盒,三诺安稳血糖仪 ,1台/盒,1  盒  ,湘食药监械(准)字2012第2400053 ,三诺生物传感技术股份有限公司 ,佛山健多多医疗器械有限公司,有
三诺安稳血糖试纸条 三诺安稳血糖试纸条    50条/盒,三诺安稳血糖试纸条 ,50条/盒,1  盒  ,湘食药监械(准)字2012第2400053号 ,三诺生物传感技术股份有限公司 ,佛山健多多医疗器械有限公司,有
三诺安稳+血糖测试仪 三诺安稳+血糖测试仪    1台/盒,三诺安稳+血糖测试仪 ,1台/盒,1  盒  ,湘食药监械(准)字2013第2400102号(更) ,三诺生物传感技术股份有限公司 ,佛山健多多医疗器械有限公司,有
成人专用型护理垫 成人专用型护理垫    60*90cm*10片/盒,成人专用型护理垫 ,60*90cm*10片/盒,1  盒  ,鲁青食药监械生产备20160021号 ,青岛哈尼笑笑护理用品科技有限公司 ,佛山健多多医疗器械有限公司,有
