通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
知柏地黄丸(浓缩丸)仲景仲景 知柏地黄丸(浓缩丸)    200丸.,知柏地黄丸(浓缩丸)仲景仲景 ,200丸.,120  盒  ,Z41021904 ,仲景宛西制药股份有限公司 ,成都拜欧药业股份有限公司,有
补肾填精丸 补肾填精丸    ：5.6g*5袋,补肾填精丸 ,：5.6g*5袋,1  袋  ,Z20025920 ,承德御室金丹药业有限公司 ,湖南湘众医药有限公司,有
补肾强身片太极 补肾强身片    ：100片,补肾强身片太极 ,：100片,100  片  ,Z51020239 ,太极集团四川绵阳制药有限公司 ,成都拜欧药业股份有限公司,有
 核桃营养蛋白质粉    900g, ,900g,18  盒  ,Q/JZD0001S-2014 ,江西樟都药业有限公司 ,华源康信（武汉）医药有限公司,有
渠道肾宝片汇仁 肾宝片    ：每片重0.7g*9片*14板,肾宝片汇仁 ,：每片重0.7g*9片*14板,80  片  ,Z20080627 ,江西汇仁药业股份有限公司 ,四川省优胜美特医药有限公司,无
肾宝片汇仁 肾宝片    ：每片重0.7g*9片*14板,肾宝片汇仁 ,：每片重0.7g*9片*14板,40  片  ,Z20080627 ,江西汇仁药业股份有限公司 ,山东健志医药科技开发有限公司,无
补肾填精丸 补肾填精丸    ：5.6g*5袋,补肾填精丸 ,：5.6g*5袋,300  袋  ,Z20025920 ,承德御室金丹药业有限公司 ,山东健志医药科技开发有限公司,无
补肾填精丸 补肾填精丸    ：5.6g*5袋,补肾填精丸 ,：5.6g*5袋,200  袋  ,Z20025920 ,承德御室金丹药业有限公司 ,四川省科欣医药贸易有限公司,无
 核桃营养蛋白质粉    900g, ,900g,18  盒  ,Q/JZD0001S-2014 ,江西樟都药业有限公司 ,山东健志医药科技开发有限公司,无
 蛹虫草氨基酸营养液    250*3瓶/提, ,250*3瓶/提,10  盒  ,Q/JHX  0001S ,江西和欣实业股份有限公司 ,中山市凯成生物医药科技有限公司,无
补肾填精丸 补肾填精丸    ：5.6g*5袋,补肾填精丸 ,：5.6g*5袋,1  袋  ,Z20025920 ,承德御室金丹药业有限公司 ,深圳市同兴泰医药有限公司,无
肾宝片汇仁 肾宝片    ：每片重0.7g*9片*14板,肾宝片汇仁 ,：每片重0.7g*9片*14板,40  片  ,Z20080627 ,江西汇仁药业股份有限公司 ,安徽华源盛铭药业有限公司,无
海狗丸 海狗丸    0.2g*120片/瓶（糖衣水丸）.,海狗丸 ,0.2g*120片/瓶（糖衣水丸）.,200  盒  ,Z20093699 ,深圳京果制药有限公司 ,成都拜欧药业股份有限公司,有
肾宝片汇仁 肾宝片    ：每片重0.7g*9片*14板,肾宝片汇仁 ,：每片重0.7g*9片*14板,1  片  ,Z20080627 ,江西汇仁药业股份有限公司 ,广州市振康医药有限公司,有
腰痛片诺得胜 腰痛片    ：18片×3板/盒,腰痛片诺得胜 ,：18片×3板/盒,300  盒  ,Z20083310 ,湖北诺得胜制药有限公司 ,成都拜欧药业股份有限公司,有
六味地黄丸(浓缩丸)太极 六味地黄丸(浓缩丸)    100丸(每3丸相当于原药材3g.,六味地黄丸(浓缩丸)太极 ,100丸(每3丸相当于原药材3g.,240  盒  ,Z50020595 ,太极集团重庆中药二厂有限公司 ,成都拜欧药业股份有限公司,有
补肾填精丸 补肾填精丸    ：5.6g*5袋,补肾填精丸 ,：5.6g*5袋,300  袋  ,Z20025920 ,承德御室金丹药业有限公司 ,成都拜欧药业股份有限公司,有
补肾益寿胶囊太极 补肾益寿胶囊    ：0.3g*60粒,补肾益寿胶囊太极 ,：0.3g*60粒,30  粒  ,Z50020569 ,太极集团重庆涪陵制药厂有限公司 ,成都拜欧药业股份有限公司,有
补肾填精丸 补肾填精丸    ：5.6g*5袋,补肾填精丸 ,：5.6g*5袋,1  袋  ,Z20025920 ,承德御室金丹药业有限公司 ,广州市振康医药有限公司,有
渠道 多维营养蛋白质粉    900g, ,900g,1  盒  ,Q/JZD0001S-2014 ,江西樟都药业有限公司 ,四川仁通医药有限公司,无
渠道 核桃营养蛋白质粉    900g, ,900g,18  盒  ,Q/JZD0001S-2014 ,江西樟都药业有限公司 ,四川仁通医药有限公司,无
渠道肾宝片汇仁 肾宝片    ：每片重0.7g*9片*14板,肾宝片汇仁 ,：每片重0.7g*9片*14板,1  片  ,Z20080627 ,江西汇仁药业股份有限公司 ,深圳市同兴泰医药有限公司,无
