通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
精卫鸟 复方苯巴比妥溴化钠片    24片*2盒,精卫鸟 ,24片*2盒,100  盒  ,国药准字H22025507 ,吉林省神经精神病医院制药厂 ,广东壹号药业有限公司,有
枢芬 巴氯芬片    10mg*10片,枢芬 ,10mg*10片,300  盒  ,国药准字H19980103 ,福安药业集团宁波天衡制药有限公司 ,广东壹号药业有限公司,有
仁澳 奥卡西平片    0.3g*10片*3板,仁澳 ,0.3g*10片*3板,100  盒  ,国药准字H20051518 ,北京四环制药有限公司 ,广东壹号药业有限公司,有
顺坦 茴拉西坦分散片    0.1g*30片,顺坦 ,0.1g*30片,300  盒  ,国药准字H20020572 ,西安海欣制药有限公司 ,广东壹号药业有限公司,有
宇宙 脑蛋白水解物片    6.5mg:14.4mg*24片,宇宙 ,6.5mg:14.4mg*24片,200  盒  ,国药准字H31022990 ,上海中华药业有限公司 ,广东壹号药业有限公司,有
唯他停 盐酸舍曲林分散片    50mg*14片,唯他停 ,50mg*14片,200  盒  ,国药准字H20090337 ,浙江京新药业股份有限公司 ,广东壹号药业有限公司,有
拉格丹东 复方手参益智胶囊    0.3g*30粒,拉格丹东 ,0.3g*30粒,300  盒  ,国药准字Z20026454 ,青海省格拉丹东药业有限公司 ,广东壹号药业有限公司,有
亚宝 茴拉西坦片    50mg*60片,亚宝 ,50mg*60片,200  盒  ,国药准字H20000548 ,亚宝药业集团股份有限公司 ,广东壹号药业有限公司,有
渠道安闲 拉莫三嗪片    25mg*48片,安闲 ,25mg*48片,200  盒  ,国药准字H20050596 ,三金集团湖南三金制药有限责任公司 ,广东壹号药业有限公司,无
常泰 心神宁片    0.25g*80片,常泰 ,0.25g*80片,180  盒  ,国药准字Z20025590 ,延安常泰药业有限责任公司 ,广东壹号药业有限公司,有
思维源 复方脑蛋白水解物片    24片,思维源 ,24片,300  盒  ,国药准字H22024372 ,吉林省长源药业有限公司 ,广东壹号药业有限公司,有
精卫鸟 复 方苯巴比妥溴化钠片    100片,精卫鸟 ,100片,80  包  ,国药准字H22025507 ,吉林省神经精神病医院制药厂 ,广东壹号药业有限公司,有
赛灵斯 盐酸多奈哌齐胶囊    5mg*7粒,赛灵斯 ,5mg*7粒,200  盒  ,国药准字H20030106 ,西安海欣制药有限公司 ,广东壹号药业有限公司,有
天宁寺 复方青黛胶囊    0.5g*12粒*4板,天宁寺 ,0.5g*12粒*4板,200  盒  ,国药准字Z20010157 ,陕西医药控股集团天宁制药 ,广东壹号药业有限公司,有
森福罗 盐酸普拉克索缓释片    0.75mg*10片,森福罗 ,0.75mg*10片,100  盒  ,国药准字J20150017 ,Boehringer Imgelheim Pharma GmbH &Co.KG Binger Strasse 173 ,广东壹号药业有限公司,有
