通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
同仁堂 西洋参    4#参片/90克,同仁堂 ,4#参片/90克,24  瓶  , ,北京同仁堂健康药业(福州)有限公司 ,广东壹号药业有限公司,无
美参堂 人参    5g,美参堂 ,5g,84  盒  ,GB/T 19506-2009 ,通化盛吉信生物科技股份有限公司 ,广东壹号药业有限公司,无
神象 西洋参片    100g,神象 ,100g,8  盒  ,沪20160149 ,上海信德中药公司饮片厂 ,广东壹号药业有限公司,无
康美 西洋参    60g,康美 ,60g,60  罐  ,无 ,康美药业股份有限公司 ,广东壹号药业有限公司,无
同仁堂 哈蟆油    15g,同仁堂 ,15g,54  盒  , ,北京同仁堂健康药业(福州)有限公司 ,广东壹号药业有限公司,无
康美 云南文山三七粉玻璃瓶装    88g,康美 ,88g,1  袋  ,粤卫食证字（2008）第5200A03753号 ,康美药业股份有限公司 ,广东壹号药业有限公司,无
雷允上 灵芝孢子粉    1克*20袋,雷允上 ,1克*20袋,80  个  ,G20040559 ,上海埃克生物制品有限公司 ,广东壹号药业有限公司,无
云三七 三七超细粉    3g*30袋,云三七 ,3g*30袋,60  盒  , ,云南三七科技药业有限公司 ,广东壹号药业有限公司,无
云三七 三七超细粉    90g*2瓶,云三七 ,90g*2瓶,6  盒  , ,云南三七科技药业有限公司 ,广东壹号药业有限公司,无
同仁堂 西洋参    3#参片/90克,同仁堂 ,3#参片/90克,24  瓶  , ,北京同仁堂健康药业（福州）有限公司 ,广东壹号药业有限公司,无
神象 西洋参片    50g,神象 ,50g,69  瓶  , ,上海上药神象健康药业有限公司 ,广东壹号药业有限公司,无
盘龙云海 三七超细粉    270g,盘龙云海 ,270g,40  罐  , ,云南盘龙云海药业有限公司 ,广东壹号药业有限公司,无
康美 康美西洋参    4g*15袋,康美 ,4g*15袋,10  盒  ,粤20160335 ,康美药业股份有限公司 ,广东壹号药业有限公司,无
云三七 三七超细粉    100g,云三七 ,100g,48  盒  , ,云南三七科技药业有限公司 ,广东壹号药业有限公司,无
真仁堂 三七粉    3g*10袋,真仁堂 ,3g*10袋,168  盒  ,沪20160147 ,上海真仁堂药业有限公司 ,广东壹号药业有限公司,无
美参堂 人参    150g,美参堂 ,150g,12  盒  ,GB/T 22536 ,通化东贵堂生物科技有限公司 ,广东壹号药业有限公司,无
白云山 白云山三七粉    3g*30袋,白云山 ,3g*30袋,48  罐  ,《中华人民共和国药典》2015版一部 ,广州市药材公司中药饮片厂 ,广东壹号药业有限公司,无
田七 田七    500克,田七 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
田七19头 田七19头    500克,田七19头 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
田七70头 田七70头    500克,田七70头 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
无蜡田七 无蜡田七    500克,无蜡田七 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
田七20头 田七20头    500克,田七20头 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
田七30头 田七30头    500克,田七30头 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
田七50头 田七50头    500克,田七50头 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
田七120头 田七120头    500克,田七120头 ,500克,1  包  , ,延边仁韩生物科技有限公司 ,东莞市仁韩参茸有限公司,有
宁夏枸杞（特优级） 宁夏枸杞（特优级）    ：100g,宁夏枸杞（特优级） ,：100g,80  克  ,Q/NJLB0002S-2014 ,中宁县吉利宝枸杞制品有限公司 ,成都拜欧药业股份有限公司,有
 秦诺宁康 维生素C片    0.1g*50片/盒, ,0.1g*50片/盒,1  盒  ,国药准字H61022029 ,陕西颐生堂药业有限公司 ,湛江市弘安药业有限公司,有
