通用名,商品名称,规格,箱规,国药准字,厂家,供应商,是否有活动
渠道易香狐臭香露*南京同仁堂 易香狐臭香露*南京同仁堂    40ml/盒*100盒/件,易香狐臭香露*南京同仁堂 ,40ml/盒*100盒/件,1  盒  ,GD.FDA(2013)卫妆准字29-XK-3670号 ,肇庆苗和堂医药有限公司 ,惠州市利佳康园医药科技有限公司,有
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,湖北千瑞铭医药有限公司,有
 甲正王除臭液    12ml, ,12ml,400  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,湖南同安医药有限公司,有
 甲正王除臭液    12ml, ,12ml,1  支  ,国妆特字G20080006 ,广西柳州中兴日用化工厂 ,重庆赛力君安医药有限公司,有
渠道 甲正王除臭液    12ml, ,12ml,200  支  ,国妆特字G20080006 ,广西柳州中兴日用化工厂 ,四川省优胜美特医药有限公司,无
 黄皮肤乳膏    10g, ,10g,400  盒  ,赣卫消证字（2010）第0076号 ,江西报恩堂药业有限公司 ,黑龙江省华源医药股份有限公司,有
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,武汉润德药业有限公司,有
 一扫光药膏    20g, ,20g,400  盒  ,赣卫消证字（2011）第0053号 ,江西天光药业有限公司 ,福建国瑞药业有限公司,有
 狼毒脚癣净    60ml, ,60ml,1  盒  ,赣卫消证字(2010)第0095号 ,江西盖天灵药业有限公司 ,东莞市启信医药有限公司,有
渠道易香狐臭香露*南京同仁堂 易香狐臭香露*南京同仁堂    40ml/盒*100盒/件,易香狐臭香露*南京同仁堂 ,40ml/盒*100盒/件,1  盒  ,GD.FDA(2013)卫妆准字29-XK-3670号 ,肇庆苗和堂医药有限公司 ,惠州市信合惠通实业有限公司,有
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,200  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,湖北巨世医药有限公司,有
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,武汉益世药业有限责任公司,有
 甲正王除臭液    12ml, ,12ml,400  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,四川仁通医药有限公司,无
 甲正王除臭液    12ml, ,12ml,1  盒  ,国妆特字G20080006 ,柳州市中兴日用化工厂 ,中山市龙裕医药有限公司,无
 烧亮(眼部冷敷凝胶）    10ml, ,10ml,1  瓶  , ,山西圣君药业有限公司 ,中山市龙裕医药有限公司,无
 盐酸左氧氟沙星滴眼液    5ml:15mg, ,5ml:15mg,500  盒  ,国药准字H20050573 ,北京朋来制药有限公司 ,重庆隆通医药股份有限公司,无
 黄皮肤乳膏    10g, ,10g,400  盒  ,赣卫消证字（2010）第0076号 ,江西报恩堂药业有限公司 ,华源康信（武汉）医药有限公司,无
 白凡士林    400g, ,400g,48  盒  ,冀卫消证字（2008）第0043号 ,衡水益仁药业有限公司 ,山东健志医药科技开发有限公司,无
